%LYMPH,Low,21.02,+0.8SDs
%LYMPH,Low,19.35,-0.4SDs
%LYMPH,Low,19.81,-0.1SDs
%LYMPH,Low,21.54,+1.2SDs
%LYMPH,Low,20.43,+0.4SDs
%LYMPH,Low,18.35,-1.1SDs
%LYMPH,Low,18.99,-0.7SDs
%LYMPH,Low,19.25,-0.5SDs
HGB,Low,6.74,-1.2SDs
HGB,Low,6.97,-0.1SDs
HGB,Low,7.16,+0.9SDs
HGB,Low,7.05,+0.4SDs
HGB,Low,7.21,+1.2SDs
HGB,Low,7.34,+1.8SDs
HGB,Low,6.99,+0.1SDs
HGB,Low,7.23,+1.3SDs
HGB,Low,6.97,0.0SDs
HGB,Low,6.78,-1.0SDs
HGB,Low,7.3,+1.6SDs
HGB,Low,7.0,+0.1SDs
HGB,Low,7.21,+1.2SDs
HGB,Low,7.06,+0.4SDs
HGB,Low,7.26,+1.4SDs
HGB,Low,7.06,+0.4SDs
HGB,Low,7.01,+0.2SDs
HGB,Low,7.02,+0.2SDs
HGB,Low,7.01,+0.1SDs
HGB,Low,7.03,+0.3SDs
HGB,Low,6.63,-1.7SDs
HGB,Low,7.24,+1.3SDs
HGB,Low,7.07,+0.5SDs
HGB,Low,7.19,+1.1SDs
HGB,Low,7.29,+1.6SDs
HGB,Low,7.13,+0.8SDs
HGB,Low,7.04,+0.3SDs
HGB,Low,6.96,-0.1SDs
HGB,Low,6.96,-0.1SDs
HGB,Low,6.87,-0.5SDs
HGB,Low,6.75,-1.1SDs
HGB,Low,7.03,+0.3SDs
HGB,Low,7.32,+1.7SDs
HGB,Low,7.1,+0.6SDs
HGB,Low,7.15,+0.9SDs
HGB,Low,7.28,+1.5SDs
HGB,Low,7.02,+0.2SDs
HGB,Low,7.01,+0.2SDs
HGB,Low,7.16,+0.9SDs
HGB,Low,7.17,+1.0SDs
HGB,Low,7.19,+1.0SDs
HGB,Low,7.22,+1.2SDs
HGB,Low,7.16,+0.9SDs
HGB,Low,7.01,+0.2SDs
HGB,Low,7.02,+0.2SDs
HGB,Low,6.97,0.0SDs
HGB,Low,6.83,-0.7SDs
HGB,Low,6.85,-0.6SDs
HGB,Low,7.08,+0.5SDs
HGB,Low,6.89,-0.4SDs
HGB,Low,6.96,-0.1SDs
HGB,Low,7.21,+1.2SDs
HGB,Low,6.92,-0.3SDs
HGB,Low,6.96,-0.1SDs
HGB,Low,7.11,+0.7SDs
HGB,Low,7.06,+0.4SDs
HGB,Low,6.98,0.0SDs
HGB,Low,6.7,-1.4SDs
HGB,Low,6.86,-0.6SDs
HGBr,Low,30.13,-0.3SDs
HGBr,Low,30.36,+0.3SDs
HGBr,Low,31.11,+2.5SDs
HGBr,Low,29.75,-1.5SDs
HGBr,Low,30.09,-0.5SDs
